	Score1	Group	Score2	Species Score3	
28d8d312ffadc13ca3dc2083331c220f	0.83	AMBIGUOUS	0	AMBIGUOUS	0
49f6c579cc2d4d67afa4f081a76d4482	1	NA	1	Veillonella_dispar	0.76
7d472c63fae79729bdadef2d7f9e062c	0.91	NA	1	Oxalophagus_oxalicus	0.88
4fa9d32397845ed7986984588ee83782	1	NA	1	Bifidobacterium_bifidum	1
46f579bb547d062a2e62f2674950af13	0.38	NA	0.96	Asteroleplasma_anaerobium	0.81
5ea979d72a760292047fb301c780df06	0.56	NA	0.39	Eubacterium_coprostanoligenes	0.32
b7d4d9441648d5f877395ee673c7f8e4	1	NA	1	Roseburia_inulinivorans	1
16f764b46d59a8922a30bff80f28580b	0.97	NA	1	Prevotella_copri	1
6d3c76b36fd94a74c14952241df1304c	1	XVI	1	Clostridium_innocuum	1
89f25675f5ad50202bec41e3fdf5be6f	1	NA	1	Bifidobacterium_breve	1
145c235e3da022cda97f1d039a0cec2d	0.77	NA	1	Eubacterium_coprostanoligenes	1
7c0ad05771b508c4505cd2065b24ab9a	1	NA	1	Bacteroides_coprocola	1
692152052d98bd3a58d6a9c8eab0f5d4	1	NA	1	AMBIGUOUS	0
8f3446d31a48aa13662c87530614a163	1	NA	1	AMBIGUOUS	0
dd8a50678a9a719acf74151d690d9fcc	0.84	NA	0.68	AMBIGUOUS	0
6511163caf1002613853871d01df6a2d	0.83	NA	1	Prevotella_copri	1
d6d75513bdb52ef9e4eade94a58335df	1	NA	1	Thermus_scotoductus	0.95
1dbfe4a6e9f391987e910a55597c634d	1	NA	1	AMBIGUOUS	0
904bce3341b3ce00ee57c38fad964243	0.93	NA	1	Prevotella_copri	1
6fc74d3c82e516719c87fe1cab2c1a61	1	NA	1	Bacteroides_fragilis	1
7cc4bc06c1006b9f73c77a8583b17a84	0.55	NA	0.5	Eubacterium_coprostanoligenes	0.5
646d4c44d8fc6b5a43fb6cce66c913fb	0.76	NA	0.87	Oribacterium_sinus	0.87
fa38a01c8565aa200ea059b8de993017	0.96	NA	1	Bacteroides_caccae	1
f94447140071f96bb2ad3a9f04a1cda8	1	NA	1	Blautia_faecis	1
b1d964f3b575e846ba957a9755bc06d7	1	NA	1	AMBIGUOUS	0
fc3354bbeaaa4341659152159ab9336e	0.98	XIVa	1	AMBIGUOUS	0
d559fec57373f467ec67d0a46b0ad3b5	1	NA	0.85	Coprococcus_comes	0.85
acbc6940c181c3afe9dc1af4c8c3bdeb	1	NA	1	Bacteroides_plebeius	1
8a9b61b11e76e427bfb8a2a39cebfd70	1	NA	1	AMBIGUOUS	0
fd8318b54247abb2c41fcdf65f14ef04	1	NA	1	Parabacteroides_distasonis	1
c8c4c835ce96b2d97ac98166e9885892	1	NA	1	Methylobacterium_aquaticum	0.99
0cfb9ba5a3dbb2133f8bfd62c13f8641	0.89	I	1	Clostridium_disporicum	0.62
c4562454e4ce39b61d5312481b6937da	1	NA	1	Lactobacillus_ruminis	1
705699aef3b98743a5d78942e9614c0a	0.95	NA	1	Prevotella_copri	1
a5a389766cb52ad1aed50cc303378545	0.98	NA	1	Haemophilus_pittmaniae	1
dda9f6a9ce2326e50ec2cc39feb7e660	1	NA	1	AMBIGUOUS	0
ce858a8d622160b082fd46ada12af754	1	NA	1	Olsenella_umbonata	1
be878bfa530bd8b3be687954e4f05533	0.48	NA	1	Parabacteroides_merdae	0.09
cf1de3fc05bc3df455c41150392f5d42	1	NA	1	Cetobacterium_somerae	1
08244ebc0ba5aabd93d9a3f7fc4ce516	0.85	IV	0.8	Eubacterium_desmolans	0.8
ee7ae394828f917e3a03705fec1c8616	1	NA	1	Parabacteroides_merdae	1
3ecfdc5973e4e4f9cec40015349424f0	1	NA	1	AMBIGUOUS	0
73a13a54b3c13160912fab56ae208ee1	1	NA	1	AMBIGUOUS	0
f328cad3dae0d8cb6f12452c8d5b6cbf	0.95	NA	0.97	Gemmiger_formicilis	0.78
9e3f93018492da294afea00c0c79c128	0.98	NA	1	Prevotella_stercorea	1
78685211d69f3c3c2b39a6271d2c4102	1	NA	1	Lactobacillus_ruminis	1
e7df82e6f22abb91a7d4d3f94ffd2e81	0.99	NA	1	Bacteroides_ovatus	1
890612357302d372310bea4e2670237f	0.96	NA	1	Prevotella_copri	1
e8f6ac914055b44ec050e0e268370e93	1	XIVa	1	Dorea_longicatena	1
a595af11a7d95c2017bc22ef4de0db96	1	NA	1	AMBIGUOUS	0
be5d5870193086b9eb3543fead893d00	1	NA	1	Dialister_invisus	1
7c7dee2b8c4aa5ec6560900d231d2f72	1	NA	1	AMBIGUOUS	0
7204f340b29c995bd5888b1130c5c494	1	NA	1	AMBIGUOUS	0
25f766213520712d837c5e56f39d3704	0.67	XVIII	0.92	Clostridium_ramosum	0.54
d85b2d6e3f15c704167f809841102e08	0.68	IV	1	Oscillospira_guilliermondii	0.52
c2e661b58ceac4bd0504209e92f88fa2	1	NA	1	Coprococcus_catus	1
9dd498a2666e329886fca02eea7bf625	0.92	XIVa	0.8	Ruminococcus_obeum	0.42
d006e55a2d69b16f1b214da370edc7d5	0.9	IV	1	Ruminococcus_bromii	1
9d57fa15c8ddc73229c4285406ded3e8	0.67	NA	1	AMBIGUOUS	0
74033aeb8b7ca171a14c5dfaeea2d3ef	1	NA	1	Bacteroides_fragilis	1
57f9a58eff871a0ad43bda84b3a5c9ac	0.92	XVI	1	Eubacterium_biforme	1
72eaf6ecf5ea443981c5f451dcc06a84	0.95	NA	1	Turicibacter_sanguinis	1
1aa4f6cd941054f988c4e36f6c2e9517	0.92	NA	1	AMBIGUOUS	0
fd9aaf5f5fcddce9b796fc3e695beaa8	0.94	NA	1	Prevotella_copri	1
239e8de549fcb3042b50cf86a53ceb03	0.95	XIVa	1	Eubacterium_hallii	1
66048c52ca32830fcd940546f4716d6d	0.98	NA	1	Bacteroides_caccae	1
1e49a1d34b1ade69a71464281c25bfab	1	NA	1	Bacteroides_stercoris	1
44da0caff73a230f10b8149d2a873248	0.69	NA	1	Alloprevotella_rava	1
c444b1931a0bfcf2ff6ccec7d7d917e2	0.97	NA	1	Catenibacterium_mitsuokai	1
61ca194bbe688d3b63ad3bc91d43ee7d	1	NA	1	AMBIGUOUS	0
5635e4376fabea9c9d7b2b5b55804671	0.88	NA	1	Prevotella_copri	1
0439a1f45bbdbcf4e6d5861b9112ac17	0.98	IV	1	Ruminococcus_bromii	1
42ebf087c8dc30ab03fdd116bf2993fc	0.93	NA	1	Prevotella_copri	1
cdc47d862157b7473367628baf27d7f4	1	NA	1	Bacteroides_fragilis	1
33a2d770804d2a662f8983b1e7b91bd6	0.39	NA	0.78	Asteroleplasma_anaerobium	0.55
9da3765fbf7d7a848e8f8d32eb3c7bae	0.9	NA	1	Succinivibrio_dextrinosolvens	1
7f795254cfc870615145aeced2546685	0.4	NA	1	Vampirovibrio_chlorellavorus	0.2
152baee92b99435fc56c3d69266b0453	0.82	NA	1	Prevotella_stercorea	0.9
0f57e4de934c482d0e540cb320bb667d	1	NA	0.97	Roseburia_faecis	0.94
cbd1a49c6c79cfc4ab4f2e8bca1dfbdc	1	NA	1	Bacteroides_dorei	0.94
047f9cde1842a2f56bca433395bd15f4	0.93	NA	1	AMBIGUOUS	0
c0b2a64e970047b076661585b5349fd7	1	NA	1	Veillonella_dispar	0.81
b656a2ff101b516113a0f4752d7f7472	1	NA	1	AMBIGUOUS	0
2903e0732001902f5130ba13206b31c6	1	XVIII	1	Clostridium_ramosum	1
6c1edf8d7f85c02e3de3f1ec15493e5e	1	NA	1	Bacteroides_xylanisolvens	1
4c869fc4b49d378aaeb8850fd1cf61f9	1	NA	1	Roseburia_inulinivorans	1
8cee37800d42b37978c2b6f839a8ea86	1	NA	1	Bacteroides_uniformis	1
76f58318cd7fe64424ef2ce84cb8d1fe	1	NA	1	Bacteroides_thetaiotaomicron	1
bd99cc30674d266dc0c6d3ac6880240b	0.89	NA	1	Prevotella_copri	1
362562e56b1b501ad2e3544c31bcba1e	1	NA	1	Veillonella_tobetsuensis	0.52
8ae28e9df5372cd42c6ce3ea3c13f9b6	1	XVI	1	Clostridium_innocuum	1
e7c5b1ad99d0fcf87e5c7efe6fd9c43a	1	NA	1	AMBIGUOUS	0
91d8b0032f8027b3ebbe16e5f2ca3b2d	0.48	NA	1	Parabacteroides_merdae	0.1
cdde8b22adbceb86f35b2ce57bb4d9c9	1	IV	1	Flavonifractor_plautii	1
a769446f681b827ad7645d0022b3f903	1	NA	1	AMBIGUOUS	0
6c267ade6bf7eeaa1621ea45641ebdf1	0.92	NA	1	Prevotella_copri	1
84577d276a9b387bd72a036f2256cd9d	0.98	AMBIGUOUS	0	AMBIGUOUS	0
0d300ee73df0831a7082465b0ca2c55d	0.68	NA	1	Olsenella_uli	0.56
9fba32eacbf6a2c3e09b9c4fb3e53549	1	NA	1	Bacteroides_coprocola	1
bb9a683e314352d05144d8bf38e81f40	0.85	XIVa	0.81	Ruminococcus_lactaris	0.43
8efaa435ec3d0dbccc0aada1a4f9a54d	0.96	NA	1	Phascolarctobacterium_succinatutens	1
e9c956403d9a65e160a3c32fc9ce708d	1	NA	1	AMBIGUOUS	0
8b9605561e7200bd15d65564f0cf8cb4	1	NA	1	Bacteroides_coprocola	1
dce0e1a09459ab74fc95ae45b1bbfdaa	0.98	NA	1	Bacteroides_uniformis	0.9
f81866215514c43cd116071ea52cb1f6	1	NA	0.9	AMBIGUOUS	0
9286508e057ca7de936887f8a4f9ae31	0.9	NA	1	Parabacteroides_distasonis	1
aa5f8662940839f49f0dd4a4cfbb0fd7	0.96	NA	1	AMBIGUOUS	0
3e17d3393bb598590dd3c9542dac4fa7	1	NA	1	AMBIGUOUS	0
8a4f847c249003662354a537d98f88a9	0.93	NA	1	Megamonas_funiformis	0.8
772aa0e5c3c388fbb1e1f06a043a8035	0.38	NA	1	Asteroleplasma_anaerobium	1
3c62811bc40e145ab059a5d9144e4210	1	XIVa	1	Dorea_formicigenerans	1
34a1bdda5c2f4d03036f581a1f19fe21	1	XVI	1	Clostridium_innocuum	1
f443d2cf0e8ea3dfcefb93c15dadbd97	0.83	AMBIGUOUS	0	AMBIGUOUS	0
60380d5a2db17e3ffc324b7876f26d91	0.96	NA	1	Bacteroides_caccae	1
490283f4cd9158db5064511fa512808b	0.48	NA	1	Parabacteroides_merdae	0.36
4008fd511a2f56cdff7d2a3eb42d3397	0.95	IV	1	Faecalibacterium_prausnitzii	1
66c8f17e38baa465827169cb85e090dd	0.68	NA	1	AMBIGUOUS	0
3320702ce2e6ae05edcc19becaecfcbd	0.93	NA	1	Prevotella_copri	1
d3bbe05d036e60fdd3815861a81ca25f	0.9	NA	1	Succinivibrio_dextrinosolvens	1
13191cac1ca658cc9eff1e8fcb996646	0.96	IV	1	Faecalibacterium_prausnitzii	1
82dcdee59d2a0159ba02dc529245a0fa	1	NA	1	AMBIGUOUS	0
86a145abef42e7d30b36f6d6802d2384	0.98	NA	1	AMBIGUOUS	0
7a8c7f902a9ef4a544ff44f9203283f7	1	IV	1	Ruminococcus_bromii	1
dd4be37f38864ce67bdb8a002ac98230	0.95	XIVa	1	Eubacterium_hallii	1
ea6301d474998f3b02b24ea27d5610d7	0.89	XVI	1	Eubacterium_biforme	1
fa4c07ddb75482f72b65c76952579e90	0.9	IV	1	Ruminococcus_bromii	1
2f6a652addcd7a4601c8c686210112db	0.65	NA	1	Solobacterium_moorei	0.76
1f7918196aba35d6f051d9f53b65aee0	1	NA	1	Lactobacillus_ruminis	1
a789454447ea0320b7c1b60da931cbc8	0.67	NA	1	AMBIGUOUS	0
ef713a89c3d17467f5da848533882d6e	0.98	NA	1	Parabacteroides_distasonis	1
9a53a218ea5505387ad10cb3214e14cf	0.82	NA	1	Eubacterium_coprostanoligenes	1
67b2d67fb2bfdd1124ba6fc316c0d2d7	1	NA	1	Lactobacillus_johnsonii	0.8
39a2e5fcc7d323fddff6874c2db7fee3	0.96	NA	1	Shewanella_amazonensis	0.92
b87eafdb92eccc787ad04a25d6034f69	0.98	NA	1	Anaerostipes_hadrus	1
9797aa3b43f8d326d608c9c3ee7d6b97	0.98	NA	1	Parabacteroides_distasonis	1
7477766b9dc6a24620e6dadba6619ff9	0.84	IV	1	Eubacterium_desmolans	1
e45ea982c5dd5425c32a3b7e21fb24fb	0.94	IV	1	Faecalibacterium_prausnitzii	1
2638a4471ce5fd198dcc428cee604b6c	1	NA	1	Alistipes_putredinis	1
b11097589f8936cd6f6a63f5a04262d3	1	NA	1	AMBIGUOUS	0
84713bd7a0d1ac2221e48fe5a826daf2	0.91	NA	1	Megamonas_funiformis	0.85
8ce227db2e232a827ea20a0dcd68f16d	0.67	XVIII	0.95	Clostridium_ramosum	0.5
893316975a7d458ec8904c2b33d1dca7	0.99	NA	1	Bacteroides_ovatus	1
f4d6d83f770e38d9a0d1e0043908cf40	1	NA	1	Blautia_faecis	0.93
4bdb36df4eee4e45facf8a22a2a10e84	0.97	NA	1	Haemophilus_parainfluenzae	0.87
67865428729583061e76f41579620762	1	NA	1	Eggerthella_lenta	1
070ae96d47d5ce7cb95bf438f6e2bd02	1	NA	1	Bacteroides_plebeius	1
9651ecdc7e2348e3310e953139b7cb6c	0.98	NA	1	Bacteroides_stercoris	1
b451c2d8acba838f50a4891c1a084d5f	0.71	IV	1	Oscillibacter_valericigenes	0.45
d6e6de010afaf20bd469670cacb5e501	0.92	NA	1	Prevotella_copri	1
3529d8962165f3324c460a6759eeb086	0.98	NA	1	Howardella_ureilytica	1
661607405ef97f3c7df8c290e4070b71	0.98	XIVa	1	AMBIGUOUS	0
7e12177192f7e464c5d655e96d8c43c5	1	NA	1	AMBIGUOUS	0
f9a184f84ad85a6624592829df1cf9b6	1	NA	1	AMBIGUOUS	0
af4a2a1ee1cb3a1e2247f5eefbd8bc52	0.32	NA	0.98	Acidovorax_temperans	0
6ca9d86398bf0996bcdcb6af1bfc9406	1	NA	1	Coprococcus_catus	1
912b236405709cdbdce7dc2b60665529	1	NA	1	Anaerostipes_hadrus	1
6171ca8be123e569cc106d816d80867d	1	IV	1	Faecalibacterium_prausnitzii	1
7d626d80ccd72fd7ebeab1d47f64fbf1	0.96	NA	1	Parabacteroides_distasonis	1
e5832f7625819b0f935db0abf682b8fb	0.87	NA	0.55	Ruminococcus_gauvreauii	0.17
29a6b2ce7039174fbe157b5fff890ff0	1	XIVa	1	Butyrivibrio_crossotus	1
a1b95c9d32207befdb4099e2bfb99b3d	1	NA	1	Methylobacterium_aquaticum	0.96
7df8bb0197c14dc075002bbe2d466477	1	NA	1	Sutterella_wadsworthensis	1
d57d41533d9b8314a03989ceabb03c78	1	NA	1	Veillonella_dispar	0.86
0bced7205fd6d60a815425e73e75b298	1	NA	1	Bacteroides_uniformis	1
e8b76798dccc4b0593e7f1167c603c38	0.7	IV	0.9	Oscillibacter_valericigenes	0.11
33f513f1597edcfd37addc5e5dec5c6f	1	NA	1	Parabacteroides_distasonis	1
a70825039877ea1bb10f9620762435c4	1	NA	1	Bifidobacterium_longum	1
7568d94c45dcd3b313e95d1d5d3212b6	0.48	NA	0.56	Robinsoniella_peoriensis	0.15
cbbd16cf745d058b303f3fbe14d08445	1	NA	1	Methylobacterium_aquaticum	0.92
400333c0e4de7623b36b31434a8b96f4	1	NA	1	Pseudomonas_aeruginosa	0.98
15ad7feb6b252eef46c059d88fdae6cd	0.91	NA	1	Prevotella_copri	1
6d80fb9127836938d959f28f30d553dd	1	NA	1	Methanobrevibacter_smithii	1
95053b8037b5c843bbb3d8fc5fa9f86a	0.89	NA	1	Prevotella_copri	1
8afdb5c660e6ea12d52cd153cc7546b4	0.98	NA	1	Collinsella_aerofaciens	1
a3e53f16725d645ef1c0159f43d71bce	0.98	I	1	Clostridium_disporicum	0.97
d082a9fdfa1b58ed96cc95f425e1afea	1	NA	1	Bacteroides_plebeius	1
3197565893b27a367cc52ee1c3ec8824	0.96	XIVa	1	Blautia_luti	1
48a48b5678f45884856f5cb57b6d916b	0.91	XIVa	0.99	Clostridium_oroticum	0.66
449f13b8bd40e1c336f7779fcab9655d	0.96	NA	1	Fusobacterium_varium	0.88
cd4a3dd990f188c4236974ada0ad4b29	1	XI	1	Clostridium_bartlettii	1
602b69179b3425a8bfa68191d9c17bc2	1	NA	1	Lactobacillus_delbrueckii	1
c611692e70a06e66c50a4a0fc905c1ba	0.95	NA	1	Turicibacter_sanguinis	1
2fec9a4c226b228c56b2f7766f1603ca	0.62	NA	1	Alloprevotella_rava	1
82f67583fab5300785bb947271c6d75e	0.82	NA	1	Prevotella_stercorea	0.88
b1b25241ccf6c71f8219018b6fbf5cb9	1	NA	1	Streptococcus_parasanguinis	0.89
a358371669a293ab16b90e4de05218c5	0.59	III	0.86	Clostridium_thermocellum	0.39
4fa18bf0ef8c87400702d8fbcc827504	0.98	NA	1	Bacteroides_caccae	1
afe9e816e13267f07f55b6699c08af43	0.71	IV	0.95	Oscillibacter_valericigenes	0.47
f9a3322fea1ca8c1416c2214b0fa697f	1	XVIII	1	Clostridium_ramosum	1
a7c38e7053bad70292038a251fcb25d6	1	NA	1	Lactobacillus_delbrueckii	0.98
2f2a7a1e62973928a45a859f2c74bef7	0.7	NA	1	Olsenella_uli	0.46
6e5d2a973e463ed0a59c518d8fbdf40a	0.68	NA	1	Olsenella_uli	0.53
79b79ed66a35dece57b49fdf14888c34	1	NA	1	Megamonas_funiformis	1
11b6b6ba0f310118a3e7028ef3a638bf	1	NA	1	AMBIGUOUS	0
7c1187d6477ebb4b50471e254b3cebf7	1	NA	1	Bacteroides_uniformis	1
714354a9f0f1db46125146d57d7f069a	1	NA	0.95	Coprococcus_comes	0.95
f73ece671870b284964e4e06b3e22013	0.93	NA	1	Catenibacterium_mitsuokai	1
864fcb77628185480c19f12ffcfa236b	1	XIVa	1	Eubacterium_eligens	1
eb005e8258b60725a4f7fff89c87f4d1	1	NA	1	Bacteroides_thetaiotaomicron	1
ef498ab03e33fff6dbfdb0437ac33136	0.82	NA	1	Prevotella_stercorea	0.88
d744bcebfdbdd1e067b7d4bdbd521de3	1	NA	1	Bacteroides_thetaiotaomicron	1
85d7ebab65106d0f285924be6c3f4eb4	1	NA	1	Veillonella_parvula	0.85
beeabb6a5f62764485fb8efab170a591	0.88	NA	1	Prevotella_copri	1
2b9f327e550974aa8087cbc804fc972c	0.92	XIVa	0.88	Clostridium_hylemonae	0.65
909b844a1ea8b3a0aafad017da9dc4ba	0.64	NA	1	Alloprevotella_rava	0.87
4ff9eba4c736b5d03fce643e952a2e64	1	IV	1	Faecalibacterium_prausnitzii	1
05dd793524af964f32646ba2a8685ef6	0.88	AMBIGUOUS	0	AMBIGUOUS	0
77cc2d425133e6038cc02a45f27e7931	0.66	NA	0.52	Intestinimonas_butyriciproducens	0.52
4d99a92fe05d9cc8a3d428f365ede55a	1	NA	1	Slackia_isoflavoniconvertens	1
3ceb171e353588e1d994e82b63cadf7b	0.98	NA	1	Parabacteroides_distasonis	1
fec5d5857d059ce1962d9be314906ecd	0.98	NA	1	AMBIGUOUS	0
1bebb00e11c50c608f10cebced940c27	1	IV	1	Flavonifractor_plautii	1
