	Classification	Status
sample_73	Healthy_Rural	Healthy
sample_74	Healthy_Rural	Healthy
sample_75	Healthy_Rural	Healthy
sample_76	Healthy_Rural	Healthy
sample_77	Healthy_Rural	Healthy
sample_78	Healthy_Rural	Healthy
sample_79	Healthy_Rural	Healthy
sample_80	Healthy_Rural	Healthy
sample_81	Healthy_Rural	Healthy
sample_82	Healthy_Rural	Healthy
sample_83	Healthy_Rural	Healthy
sample_84	Healthy_Rural	Healthy
sample_85	Healthy_Rural	Healthy
sample_86	Healthy_Urban	Healthy
sample_87	Healthy_Urban	Healthy
sample_88	Healthy_Urban	Healthy
sample_89	Healthy_Urban	Healthy
sample_91	IBD_Ballabhgarh	IBD
sample_92	IBD_Ballabhgarh	IBD
sample_93	IBD_Ballabhgarh	IBD
sample_94	IBD_Ballabhgarh	IBD
sample_95	IBD_Ballabhgarh	IBD
sample_96	IBD_Ballabhgarh	IBD
sample_97	IBD_Ballabhgarh	IBD
sample_98	IBD_Ballabhgarh	IBD
sample_99	IBD_Ballabhgarh	IBD
sample_100	IBD_Ballabhgarh	IBD
sample_101	IBD_Ballabhgarh	IBD
sample_102	IBD_Ballabhgarh	IBD
sample_103	IBD_Ballabhgarh	IBD
sample_104	IBD_Ballabhgarh	IBD
sample_105	IBD_Ballabhgarh	IBD
sample_106	IBD_Ballabhgarh	IBD
sample_107	IBD_Ballabhgarh	IBD
sample_108	IBD_Ballabhgarh	IBD
sample_109	IBD_Ballabhgarh	IBD
sample_110	IBD_Hyderabad	IBD
sample_111	IBD_Hyderabad	IBD
sample_112	IBD_Hyderabad	IBD
sample_113	IBD_Hyderabad	IBD
sample_114	IBD_Hyderabad	IBD
sample_115	IBD_Hyderabad	IBD
sample_116	IBD_Hyderabad	IBD
sample_117	IBD_Hyderabad	IBD
sample_118	IBD_Hyderabad	IBD
sample_119	IBD_Hyderabad	IBD
sample_120	IBD_Hyderabad	IBD
sample_121	IBD_Hyderabad	IBD
sample_122	IBD_Hyderabad	IBD
sample_123	IBD_Hyderabad	IBD
sample_124	IBD_Hyderabad	IBD
sample_125	IBD_Hyderabad	IBD
sample_126	IBD_Hyderabad	IBD
sample_127	IBD_Hyderabad	IBD
sample_128	IBD_Hyderabad	IBD
sample_129	IBD_Hyderabad	IBD
sample_130	IBD_Hyderabad	IBD
sample_131	IBD_Hyderabad	IBD
sample_132	IBD_Hyderabad	IBD
sample_133	IBD_Hyderabad	IBD
sample_134	IBD_Hyderabad	IBD
sample_135	IBD_Hyderabad	IBD
sample_137	IBD_Hyderabad	IBD
sample_138	IBD_Hyderabad	IBD
sample_139	IBD_Ballabhgarh	IBD
sample_140	IBD_Ballabhgarh	IBD
sample_141	IBD_Ballabhgarh	IBD
sample_142	IBD_Ballabhgarh	IBD
sample_143	IBD_Ballabhgarh	IBD
sample_144	IBD_Severe	ASUC
sample_146	IBD_Severe	ASUC
sample_147	IBD_Severe	ASUC
sample_148	IBD_Severe	ASUC
sample_149	IBD_Severe	ASUC
sample_150	IBD_Severe	ASUC
sample_151	IBD_Severe	ASUC
sample_152	IBD_Severe	ASUC
sample_153	IBD_Severe	ASUC
sample_154	IBD_Severe	ASUC
sample_155	IBD_Severe	ASUC
sample_156	IBD_Severe	ASUC
sample_157	IBD_Severe	ASUC
sample_159	IBD_Severe	ASUC
sample_160	IBD_Severe	ASUC
sample_161	IBD_Severe	ASUC
sample_162	IBD_Severe	ASUC
sample_163	IBD_Severe	ASUC
sample_164	IBD_Severe	ASUC
sample_165	IBD_Severe	ASUC
sample_166	IBD_Severe	ASUC
