	Dorea_formicigenerans	Clostridium_intestinale	Serratia_marcescens	Lysinibacillus_boronitolerans	Veillonella_parvula	Bifidobacterium_adolescentis	Ruminococcus_torques	Bacteroides_plebeius	Pyramidobacter_piscolens	Haemophilus_influenzae	Prevotella_nigrescens	Eggerthella_lenta	Lactobacillus_mucosae	Marinomonas_primoryensis	Sphingomonas_wittichii	Streptococcus_luteciae	Oxalobacter_formigenes	Alistipes_massiliensis	Actinomyces_europaeus	Ruminococcus_gnavus	Paracoccus_marcusii	Bacillus_flexus	Ruminococcus_flavefaciens	Acinetobacter_lwoffii	Alistipes_indistinctus	Atopobium_rimae	Pseudoxanthomonas_mexicana	Porphyromonas_endodontalis	Neisseria_cinerea	Mitsuokella_multacida	Acinetobacter_rhizosphaerae	Sphingomonas_echinoides	Mucispirillum_schaedleri	Variovorax_paradoxus	Pseudomonas_fragi	Acinetobacter_johnsonii	Collinsella_aerofaciens	Bacteroides_caccae	Staphylococcus_epidermidis	Propionibacterium_acnes	Thermomonas_fusca	Parabacteroides_distasonis	Burkholderia_bryophila	Aggregatibacter_segnis	Staphylococcus_aureus	Eubacterium_biforme	Campylobacter_ureolyticus	Roseburia_faecis	Blautia_producta	Methylibium_petroleiphilum	Akkermansia_muciniphila	Jonquetella_anthropi	Treponema_amylovorum	Blautia_obeum	Enterococcus_cecorum	Actinobacillus_porcinus	Tetragenococcus_halophilus	Vibrio_rumoiensis	Streptococcus_sobrinus	Collinsella_stercoris	Desulfovibrio_D168	Actinobacillus_parahaemolyticus	Roseomonas_mucosa	Rothia_dentocariosa	Pediococcus_acidilactici	Escherichia_coli	Helicobacter_pylori	Clostridium_hiranonis	Veillonella_dispar	Brevundimonas_diminuta	Staphylococcus_succinus	Clostridium_perfringens	Rothia_mucilaginosa	Coprococcus_catus	Caldinitratiruptor_microaerophilus	Haemophilus_parainfluenzae	Bacteroides_barnesiae	Selenomonas_noxia	Clostridium_butyricum	Deinococcus_geothermalis	Stenotrophomonas_acidaminiphila	Bifidobacterium_bifidum	Bacteroides_uniformis	Prevotella_copri	Paenibacillus_lautus	Methylobacterium_adhaesivum	Rhodococcus_fascians	Streptococcus_anginosus	Eubacterium_cylindroides	Staphylococcus_equorum	Methylotenera_mobilis	Corynebacterium_durum	Bacteroides_ovatus	Enterococcus_casseliflavus	Bacillus_cereus	Bacteroides_coprophilus	Bacillus_muralis	Lactobacillus_ruminis	Microbispora_rosea	Morganella_morganii	Rothia_aeria	Bifidobacterium_longum	Coprococcus_eutactus	[Eubacterium]_dolichum	Peptostreptococcus_anaerobius	Bacteroides_fragilis	Bifidobacterium_pseudolongum	Faecalibacterium_prausnitzii	Bacteroides_eggerthii	Bacillus_cohnii	Lactobacillus_zeae	Selenomonas_ruminantium	Frondihabitans_cladoniiphilus	Ruminococcus_bromii	Treponema_socranskii
s11_CD_flare_Inflammed	1.69E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000118243	0	0	0	1.69E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003716216	0	0.000168919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037820946	0	1.69E-05	0.002297297	0	0	0	0	0	0	0.002989865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000253378	0	1.69E-05	0	0	0	0	1.69E-05	0	0	0	0	0	0	0	0
s12_CD_flare_Inflammed	7.18E-05	0	0	1.80E-05	0	1.80E-05	0.007090289	0	0	0	0	8.98E-05	0	0	0	0	0	0	0	0.19633818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024430084	0	0	0	0	0	0	0.004056722	0	0	0	0	0	3.59E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.39E-05	0	0.000215401	0	3.59E-05	0	0	5.39E-05	0	0	0	0	0	0	0	0
s13_CD_flare_Inflammed	1.70E-05	0	5.09E-05	0	0	0.000203559	0	0	0	0	0	0	0	0	0	0	0	0	3.39E-05	0.102882055	0	0	0	0	0	0	0	0	0	0	8.48E-05	0	0	0	0	0	0	0	8.48E-05	1.70E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70E-05	0	0	0	0	0	1.70E-05	0	0	0.000101779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000220522	0	0	0	0	0	1.70E-05	0.000220522	0	0.005411274	0	0	0	0	0	1.70E-05	0	8.48E-05	0	0	0	0	0
s14_CD_flare_Inflammed	0	0	0	0	0	2.04E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.08E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002121237	0	2.04E-05	0	0	0	0	0	0	0	2.04E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053194093	0	0	0	0	0	0	0	0	0	0	0	6.12E-05	0	0	0	0	0	0	0.008382965	0	0	0	0	0.000203965	0	0.04807457	0	0	0	0	2.04E-05	2.04E-05	0	0	0	0	0	0	0
s15_CD_flare_Inflammed	0.018694597	0	0	0	0	5.36E-05	0.001019218	0	0	0	0	0.000254804	0	0	0	0	0	0	0	0.01345099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000107286	1.34E-05	0	0	0.009320477	0	0	0	0	0	0.000308447	0.000321858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000281626	0	0	0	0	0	0	0.00017434	0	0	0	0	9.39E-05	0	0	0	0	0	0	0	0	0	0	0	1.34E-05	0	0.001488594	0	1.34E-05	0	0	5.36E-05	0.005739804	0	0	0	0	0	0	0
s16_CD_flare_NonInflammed	0	0	0	0	2.59E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.091924243	0	0	0	0	0	0	0	0	0	0.003122004	0	0	0	7.77E-05	0	0	0	0	1.30E-05	2.59E-05	0	1.30E-05	1.30E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000323859	0	0	9.07E-05	0	0	0.044135555	0	0	7.77E-05	1.30E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.59E-05	0	0	0	3.89E-05	0	0	0	0	0.008938519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s17_CD_flare_NonInflammed	0.003622218	0	0	0	0	0.000708695	0.000346473	0	0	0	0	0	0	0	0	0	0	0	0	0.032615714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000913429	0	0	0.000472463	0	0	0	0	0	0	0	4.72E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001480385	0	0.000220483	0.024662582	0	0	0	0	0	6.30E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00012599	0	0.001637873	0	0	0	0	0	0.002015843	0	0	0	0	0	0	0
s18_CD_flare_NonInflammed	0.000272498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005722461	0	0	0	0.000272498	0	0	0	0	0	0	0	0	0	0	0	0	0.000340623	0	0	0	0	0.000476872	0.000136249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.81E-05	0	0	0	0	0	0.001021868	0.000136249	0	0.00149874	0.00149874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000136249	0	0.013761155	0	0	0	0	0	0.003338102	0	0	0	0	0	0	0
s19_CD_flare_NonInflammed	0.003522299	0	0	0	3.50E-05	0.000438097	1.75E-05	0	0	0	0	0.001542101	0	0	0	8.76E-05	0	0	0	0.046403224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000122667	0	0	0	0	0.018259879	0	0	0	0	0	0	0.000490669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01E-05	0	0	0.043178831	0.000105143	0	0	0.000893718	0	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75E-05	0	0.000122667	0	0.128853062	0	0.000122667	0	0	0	0.000192763	0	0	0	0	0	0	0
s20_CD_flare_NonInflammed	4.40E-05	0	0	0	1.47E-05	0.004430361	0.001393657	0	0.000249391	0	0	0.000498782	0	0	0	0	0	0	0	0.057668046	0	0	0	0	0	0	0	0	0	1.47E-05	0	0	0	0	0	0	0.000616143	0	1.47E-05	0.000938884	0	5.87E-05	0	0	0	0	0.000132031	0	7.34E-05	0	0	0	0	0	0	0	0	0	0	0.010811842	0	0	0	5.87E-05	0	0	0	0	5.87E-05	0	0	0	2.93E-05	0	0	1.47E-05	0	0	0	0	0	5.87E-05	0	0	0	0	0	4.40E-05	0	0	0	0	0	0	0	0	0	0	0	0.000161371	0	0.022166476	0	1.47E-05	0	0.00010269	0.000557463	0.000308071	1.47E-05	0	0	0	0	0	0
s21_CD_flare_NonInflammed	0.004062306	0	0	0	0	0.037129994	6.47E-05	6.47E-05	0	0	0	1.29E-05	0	0	0	0.000271683	9.06E-05	0	0	0.005989961	0	0	0	0	0	0	0	0	0	2.59E-05	0	0	0	0	0	0	0.013765266	0	0	0	0	0.016559718	0	0	0	0.000116436	0	0.000620989	0.001423101	0	0.000103498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.76E-05	0	0	0	3.88E-05	0	1.29E-05	0.00028462	0	0	0	0	0	0	2.59E-05	0	0	0	0	0.000168185	0	0	0	0	0	0	1.29E-05	0	0	0	0	0	0	0.01046626	0	0	0	1.29E-05	0.000297557	0.047764438	2.59E-05	0	7.76E-05	0	0	0.000258746	0
s22_CD_flare_NonInflammed	1.55E-05	0	0	0	0	3.10E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55E-05	0	0	0	0	0	0	0	0	0	0	0	1.55E-05	0	0	0	0	0	0	1.55E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000232724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003242623	0	7.76E-05	0	0	0	0	0	0.00012412	0	0	0	0	0	0	0
s23_CD_flare_NonInflammed	3.00E-05	0	0	0	0	0.003645474	1.50E-05	0	0	0	0	0.00054007	0	0	0	0	0	0	0	0.036049686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002370308	0	4.50E-05	3.00E-05	0	3.00E-05	0	0	0	0	0	0	0.001140148	0	0.001785232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000825107	0	0	0	0	0	0.000735096	4.50E-05	0	0	0.005445708	0	0	0	0	0	1.50E-05	0	0	0	0	0	0	0	0	0	0	0	0	6.00E-05	0	0	0	0	0.000135018	0	0.007575985	0	3.00E-05	0	1.50E-05	1.50E-05	3.00E-05	0	0	0	0	0	0	0
s24_CD_flare_NonInflammed	0	0	0	0	0	0.000113542	0	0	0	0	0	1.62E-05	0	0	0	0	0	0	0.039658724	0.000551491	0	0	0	0	0	0.000437949	0.000145983	0	0	0	0	0	0	0.000113542	1.62E-05	0	1.62E-05	0	0	0	0	0.000194644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000162203	0	1.62E-05	0.00047039	1.62E-05	0	0.000129763	1.62E-05	0	0.000389288	0.000162203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62E-05	0	0.000162203	0	0	0	0.000308186	1.62E-05	0.000113542	0	0	0	0	0	0	0
s25_CD_flare_NonInflammed	0	0	4.53E-05	0	0	4.53E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	9.05E-05	0	0	0	0	0	0	0	0	0	1.51E-05	0	1.51E-05	0	0	0	0	0	0	1.51E-05	0.004313986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016848679	0	0	1.51E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000301677	0	0.000150839	0	0	0	0	0	3.02E-05	0	0	0	0	0	0	0
s26_CD_flare_NonInflammed	6.56E-05	0	0	0	0	0	0.004823863	0	0	0	0	6.56E-05	0	0	0	0	0	0	0	0.167440563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03407879	0	0	0	0	0	0	0.001443877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.28E-05	0	0	0	0	0	3.28E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000114854	0	0.000262523	0	3.28E-05	0	0	0	0	0	0	0	0	0	0	0
s27_CD_flare_NonInflammed	0	0	0	0	0	0.001002862	0	0	0	0	0	0	0	0	0	0	0	0	0.000125358	0.122955101	0	2.09E-05	0	0	0	4.18E-05	0	0	0	0	0	0	0	6.27E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09E-05	0	0	0	0	0	2.09E-05	0	0	0	0	0	0	2.09E-05	0	8.36E-05	0	0	0	0	0	0	0	4.18E-05	2.09E-05	0	0	0	0	0	0	0	0	0	0	0.000250716	0	2.09E-05	0	0	0	0	0.000146251	0	0.005870923	0	0	0	0	0	0	0	0	0	0	0	0	0
s28_CD_flare_NonInflammed	0	0	0	0	0	0	0	0	0	0	0	2.13E-05	6.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00010639	0	6.38E-05	0	0	0	0	0	2.13E-05	0	0	2.13E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.51E-05	8.51E-05	0	8.51E-05	0.281954167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13E-05	0	0.101729898	0	0	0	0	0	2.13E-05	0	0	0	0	0	0	0
s29_CD_flare_NonInflammed	0.018451707	0	3.99E-05	0	0	0.000891966	0.000718898	0	0	0	0	0.001477734	0	0	0	0	0	0	0	0.012780403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000173068	9.32E-05	0	0	0.006350263	0	0	0	0	0	0.000519204	5.33E-05	0	0	0	0	0	0	0	0	1.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	1.33E-05	0	0	0	2.66E-05	0.000146442	0	0	0	0	0	9.32E-05	9.32E-05	0	0	0	0	1.33E-05	0	0	0	0	6.66E-05	0	0	0	0	0	1.33E-05	6.66E-05	1.33E-05	0.011023098	0	0	0	0	0.000252945	0.006376889	0	0	0	0	0	0	0
s30_CD_flare_NonInflammed	0	0	0	0.000668288	0	5.57E-05	1.86E-05	0	0	0	0	0	0	0	0	0	0	0	0	5.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000204199	0.000148508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.57E-05	0	0	0	0.000389835	0	1.86E-05	0.000278453	0	0	0	0	0	0	0	0	0	0	0	0.00250608	0	0	0	0	0	0	0.000519779	0	0	0	0.000334144	1.86E-05	0	0.001169504	0	0	0	0	0	0	0	0.000222763	0	0	0	0	0
s31_CD_flare_NonInflammed	0.001838671	0	0	0	2.97E-05	0.002031435	0.000266904	1.48E-05	0	0	0	0	0	0	0	0.001171412	0	0	0	0.013211744	0	0	0	0	2.97E-05	0	0	0	0	0	0	0	0	0	0	0	0.000118624	1.48E-05	0	0	0	0.005412218	0	4.45E-05	0	0	0	1.48E-05	0.000192764	0	0	0	0	0	0	0	0	0	0	2.97E-05	0	1.48E-05	0	0	0	1.48E-05	0	0	0.000177936	0	0	0	0	0	0	8.90E-05	0	0	0	0	0	0	5.93E-05	8.90E-05	0	0	0	0.000133452	0	0	0	0	0	0	0	0	0	0	0	4.45E-05	0	0.0003707	0	0	0	2.97E-05	0	0.009297153	0	0	1.48E-05	0	0	0.000696916	0
s32_CD_remission	1.81E-05	0	1.81E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81E-05	0	0	0	0	0	0	0	1.81E-05	0	0	0	0.230498375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001390394	0	0	0	0	0	0	0	0.000270856	0	0	0	0.007403395	0	0	0	0	0	0.000108342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000126399	0	0	0	0	0	0	0.001552907	0	0	0	5.42E-05	0	0	0	0
s33_CD_remission	0.000111464	0.001876312	0	0	1.86E-05	1.86E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019561946	0	0	0	0	0	1.86E-05	0	0	0	0	0	0	0	0	0	0	1.86E-05	0	0.001114641	7.43E-05	0	9.29E-05	0	0	0	0	0	0	0.005368853	0	0.000334392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000297238	0	1.86E-05	0	0	0	0.000222928	0	0	0	0	0	0	0	0	0	0	0	0.000204351	0	0	0	0	0	0	0	0	0	0	0	0	1.86E-05	0	0.001913467	0	0.00118895	0	0	0	5.57E-05	0	0	0	0	0	0	0
