	Kabatiella_bupleuri	Dioszegia_fristingensis	Gibberella_zeae	Penicillium_sp_LY_384	Itersonilia_perplexans	Aureobasidium_pullulans	Dioszegia_hungarica	Xylodon_nespori	Bullera_unica	Neurospora_crassa	Acremonium_sp	Malassezia_restricta	Filobasidium_uniguttulatum	Alternaria_malorum	Bjerkandera_adusta	Mollisia_sp	Steccherinum_sp	Leptosphaeria_sp	Monographella_nivalis	Ascochyta_sp	Alternaria_brassicae	Hyphodontia_radula	Ceratobasidium_sp_AG_I	Mastigobasidium_sp	Irpex_hydnoides	Pringsheimia_sp	Malassezia_globosa	Tilletiopsis_sp_OVB10_013	Cystofilobasidium_capitatum	Debaryomyces_prosopidis	Cryptococcus_laurentii	Ceriporiopsis_aneirina	Leucosporidiella_creatinivora	Candida_zeylanoides	Peniophora_sp	Fomes_fomentarius	Penicillium_chrysogenum	Agaricus_bisporus	Cladosporium_halotolerans	Candida_tropicalis	Candida_dubliniensis	Trametes_versicolor	Wallemia_muriae	Dioszegia_sp	Armillaria_mellea	Malassezia_sympodialis	Exophiala_eucalyptorum	Bulleromyces_albus	Saccharomyces_cerevisiae	Sistotrema_sp	Candida_glabrata	Udeniomyces_pannonicus	Aspergillus_sydowii	Yarrowia_lipolytica	Bensingtonia_sp_PYCC_5562	Meyerozyma_guilliermondii	Wallemia_sp_BF036	Kluyveromyces_marxianus	Guehomyces_pullulans	Davidiella_tassiana	Wallemia_sebi	Ceratobasidium_sp_Rh050667	Fusarium_oxysporum	Sarocladium_strictum	Cryptococcus_dimennae	Ustilago_hordei	Trichosporon_asahii	Candida_sp_YS43
s11_CD_flare_Inflammed	0.0	0.0	0.0	0.0	0.000197706603401	0.0	0.0	0.000593119810202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011862396204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011862396204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.512257809411	0.000395413206801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s12_CD_flare_Inflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000137457044674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000274914089347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000274914089347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s13_CD_flare_Inflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00641361256545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00143979057592	0.000392670157068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0235602094241	0.0	0.000523560209424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s14_CD_flare_Inflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000617379225189	0.0	0.0	0.0	0.0	0.0	0.0	0.00154344806297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005710757833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000154344806297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s15_CD_flare_Inflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0826620636747	0.0	0.00882240122746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000383582662064	0.036056770234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0675105485232	0.0	0.000383582662064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s16_CD_flare_NonInflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00220264317181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0736884261113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s17_CD_flare_NonInflammed	0.0	0.0	0.0	0.0	0.000206143063286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00103071531643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.183879612451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.128427128427	0.0	0.0	0.000206143063286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s18_CD_flare_NonInflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00113096584483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0475005654829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s19_CD_flare_NonInflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.000971581248482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.146222977897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000728685936361	0.0	0.000485790624241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s20_CD_flare_NonInflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000229568411387	0.00573921028466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0103305785124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0959595959596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s21_CD_flare_NonInflammed	0.0	0.0	0.0	0.0	0.000408580183861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00306435137896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014708886619	0.0	0.0	0.000612870275792	0.0	0.0	0.000817160367722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00163432073544	0.0	0.0	0.0	0.0	0.0
s22_CD_flare_NonInflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0220520673813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0842266462481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.145788667688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s23_CD_flare_NonInflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00321802091714	0.0	0.0	0.0	0.0	0.0	0.00107267363905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0343255564495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.040493429874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s24_CD_flare_NonInflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.00790598290598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0611111111111	0.0	0.0	0.000641025641026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s25_CD_flare_NonInflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.000282007896221	0.0	0.0	0.0	0.0	0.0	0.00253807106599	0.0	0.0	0.0	0.0	0.0	0.000564015792442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00282007896221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.789340101523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s26_CD_flare_NonInflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000164068908942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000492206726825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000492206726825	0.0	0.0	0.0	0.0	0.100410172272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s27_CD_flare_NonInflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002357378595	0.0	0.0	0.0	0.0	0.0	0.0	0.000471475719	0.0	0.0	0.0	0.0294672324375	0.0	0.0	0.0	0.025459688826	0.11338991042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00612918434701	0.0	0.0	0.0	0.0	0.0	0.0115511551155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002357378595	0.0	0.000707213578501	0.000942951438001	0.0	0.0	0.0	0.0	0.0
s28_CD_flare_NonInflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000753465943339	0.00226039783002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0106992163954	0.000602772754671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0259192284509	0.0	0.0	0.000150693188668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s29_CD_flare_NonInflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000210614995788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0381213142376	0.0176916596462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0374894692502	0.0709772535805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s30_CD_flare_NonInflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000176304654443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00423131170663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00158674188999	0.0	0.0	0.114245416079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000176304654443	0.00793370944993	0.0	0.6408674189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s31_CD_flare_NonInflammed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000868507903422	0.00434253951711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0300503734584	0.0	0.000173701580684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s32_CD_remission	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00633019674936	0.0	0.00153977758768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s33_CD_remission	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000311623558741
s34_CD_remission	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000993541977149	0.0	0.000496770988574	0.0	0.0	0.0	0.0	0.0	0.000496770988574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0228514654744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0809736711376	0.0	0.0	0.343268753105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s35_CD_remission	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000132117849121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00568106751222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000396353547364	0.0	0.0	0.0018496498877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000132117849121
s36_CD_remission	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000745990302126	0.0	0.0	0.0	0.000559492726595	0.0	0.0	0.0	0.0	0.0	0.0598657217456	0.00671391271913	0.0	0.0	0.00279746363297	0.0	0.0	0.0	0.0	0.0208877284595	0.000372995151063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0102573666542	0.000186497575532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s37_CD_remission	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000332115576221	0.0	0.0	0.0	0.0	0.0	0.0	0.000332115576221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0345400199269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00398538691465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.159747592162	0.0	0.000332115576221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s38_CD_remission	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000542691751085	0.0	0.0	0.0	0.0	0.0	0.0	0.000723589001447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00488422575977	0.0	0.0	0.000180897250362	0.0	0.0	0.0	0.0	0.0	0.000723589001447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012481910275	0.0	0.000361794500724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s39_Healthy_Control	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000193798449612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14496124031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s40_Healthy_Control	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000190331176247	0.00399695470118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00266463646745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00247430529121	0.000190331176247
